Iterations/Time,Agent1,Agent2,SHUCTAnyTime_Mean,UCT_Mean,SHUCTAnyTime_Confidence,UCT_Confidence
1000,SHUCTAnyTime,UCT,0.42,0.58,0.07925042120862807,0.07925042120862807
5000,SHUCTAnyTime,UCT,0.5133333333333333,0.4866666666666667,0.0802561774531314,0.0802561774531314
10000,SHUCTAnyTime,UCT,0.44666666666666666,0.5533333333333333,0.07982669072325994,0.07982669072325994
20000,SHUCTAnyTime,UCT,0.4066666666666667,0.5933333333333334,0.0788735882484856,0.0788735882484856
30000,SHUCTAnyTime,UCT,0.4533333333333333,0.5466666666666666,0.0799342787464638,0.0799342787464638
40000,SHUCTAnyTime,UCT,0.44666666666666666,0.5533333333333333,0.07982669072325994,0.07982669072325994
50000,SHUCTAnyTime,UCT,0.4666666666666667,0.5333333333333333,0.08010611902808663,0.08010611902808663
