Iterations/Time,Agent1,Agent2,SHUCT_Mean,SHUCTAnyTime_Mean,SHUCT_Confidence,SHUCTAnyTime_Confidence
1000,SHUCT,SHUCTAnyTime,0.6105032708968186,0.38949672910318145,0.07705752970064753,0.07705752970064753
5000,SHUCT,SHUCTAnyTime,0.6300038481139042,0.36999615188609575,0.07629382380397802,0.07629382380397802
10000,SHUCT,SHUCTAnyTime,0.5845025012740377,0.41549749872596226,0.07787473309299588,0.07787473309299588
20000,SHUCT,SHUCTAnyTime,0.48049942278291435,0.5195005772170856,0.0789511807930967,0.0789511807930967
30000,SHUCT,SHUCTAnyTime,0.5910026936797329,0.4089973063202671,0.07769161177945166,0.07769161177945168
40000,SHUCT,SHUCTAnyTime,0.5585017316512569,0.4414982683487431,0.07846860675570032,0.07846860675570032
50000,SHUCT,SHUCTAnyTime,0.5975028860854281,0.4024971139145719,0.07749444393821878,0.07749444393821878
