Iterations/Time,Agent1,Agent2,Agent1_Mean,Agent2_Mean,Agent1_Confidence,Agent2_Confidence
1000,SHUCT,UCT,0.5133333333333333,0.4866666666666667,0.0802561774531314,0.0802561774531314
5000,SHUCT,UCT,0.52,0.48,0.08022047471661078,0.08022047471661078
10000,UCT,SHUCT,0.36666666666666664,0.6333333333333333,0.07737752343854433,0.07737752343854433
20000,SHUCT,UCT,0.6466666666666666,0.35333333333333333,0.07675302130142074,0.07675302130142074
30000,UCT,SHUCT,0.36666666666666664,0.6333333333333333,0.07737752343854433,0.07737752343854433
40000,SHUCT,UCT,0.6933333333333334,0.30666666666666664,0.0740401455084017,0.0740401455084017
50000,UCT,SHUCT,0.2866666666666667,0.7133333333333334,0.07261022704029134,0.07261022704029134
