Iterations/Time,Agent1,Agent2,SHUCTAnyTime_Mean,UCT_Mean,SHUCTAnyTime_Confidence,UCT_Confidence
1000,SHUCTAnyTime,UCT,0.47333333333333333,0.5266666666666666,0.08017046417400994,0.08017046417400994
5000,SHUCTAnyTime,UCT,0.49333333333333335,0.5066666666666667,0.08027759147337812,0.08027759147337812
10000,SHUCTAnyTime,UCT,0.5333333333333333,0.4666666666666667,0.08010611902808663,0.08010611902808663
20000,SHUCTAnyTime,UCT,0.47333333333333333,0.5266666666666666,0.08017046417400994,0.08017046417400994
30000,SHUCTAnyTime,UCT,0.5333333333333333,0.4666666666666667,0.08010611902808663,0.08010611902808663
40000,SHUCTAnyTime,UCT,0.5333333333333333,0.4666666666666667,0.08010611902808663,0.08010611902808663
50000,SHUCTAnyTime,UCT,0.5733333333333334,0.4266666666666667,0.07941652698049412,0.07941652698049412
