Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCTAnyTime_Mean,Example UCT_Confidence,SHUCTAnyTime_Confidence
1000,Example UCT,SHUCTAnyTime,0.4284978835373527,0.5715021164626473,0.0781992232864305,0.0781992232864305
5000,Example UCT,SHUCTAnyTime,0.5585017316512569,0.4414982683487431,0.07846860675570032,0.07846860675570032
10000,Example UCT,SHUCTAnyTime,0.5617518278541045,0.4382481721458955,0.07840639409578104,0.07840639409578104
20000,Example UCT,SHUCTAnyTime,0.5195005772170856,0.48049942278291435,0.0789511807930967,0.0789511807930967
30000,Example UCT,SHUCTAnyTime,0.5682520202597996,0.4317479797402003,0.07827171119448625,0.07827171119448625
40000,Example UCT,SHUCTAnyTime,0.4674990379715239,0.5325009620284761,0.07884419737173022,0.07884419737173022
50000,Example UCT,SHUCTAnyTime,0.5130003848113904,0.48699961518860957,0.07898458339493668,0.07898458339493668
