Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCTAnyTime_Mean,Example UCT_Confidence,SHUCTAnyTime_Confidence
1000,Example UCT,SHUCTAnyTime,0.48049942278291435,0.5195005772170856,0.0789511807930967,0.0789511807930967
5000,Example UCT,SHUCTAnyTime,0.46099884556582876,0.5390011544341713,0.07877056198357309,0.07877056198357307
10000,Example UCT,SHUCTAnyTime,0.42199769113165747,0.5780023088683425,0.07804390675474078,0.07804390675474078
20000,Example UCT,SHUCTAnyTime,0.38949672910318145,0.6105032708968186,0.07705752970064753,0.07705752970064753
30000,Example UCT,SHUCTAnyTime,0.44799846075443833,0.5520015392455616,0.07858281509784516,0.07858281509784516
40000,Example UCT,SHUCTAnyTime,0.47399923037721914,0.5260007696227808,0.0789043933947774,0.0789043933947774
50000,Example UCT,SHUCTAnyTime,0.47399923037721914,0.5260007696227808,0.0789043933947774,0.0789043933947774
