Iterations/Time,Agent1,Agent2,SHUCT_Mean,SHUCTAnyTime_Mean,SHUCT_Confidence,SHUCTAnyTime_Confidence
1000,SHUCT,SHUCTAnyTime,0.4934998075943048,0.5065001924056952,0.0790046181772951,0.0790046181772951
5000,SHUCT,SHUCTAnyTime,0.47399923037721914,0.5260007696227808,0.0789043933947774,0.0789043933947774
10000,SHUCT,SHUCTAnyTime,0.46099884556582876,0.5390011544341713,0.07877056198357309,0.07877056198357307
20000,SHUCT,SHUCTAnyTime,0.5325009620284761,0.4674990379715239,0.07884419737173022,0.07884419737173022
30000,SHUCT,SHUCTAnyTime,0.4934998075943048,0.5065001924056952,0.0790046181772951,0.0790046181772951
40000,SHUCT,SHUCTAnyTime,0.4349980759430479,0.565001924056952,0.07834076510655465,0.07834076510655465
50000,SHUCT,SHUCTAnyTime,0.4934998075943048,0.5065001924056952,0.0790046181772951,0.0790046181772951
