Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCT_Mean,Example UCT_Confidence,SHUCT_Confidence
1000,Example UCT,SHUCT,0.4284978835373527,0.5715021164626473,0.0781992232864305,0.0781992232864305
5000,Example UCT,SHUCT,0.5390011544341713,0.46099884556582876,0.07877056198357307,0.07877056198357309
10000,Example UCT,SHUCT,0.6300038481139042,0.36999615188609575,0.07629382380397802,0.07629382380397802
20000,Example UCT,SHUCT,0.5975028860854281,0.4024971139145719,0.07749444393821878,0.07749444393821878
30000,Example UCT,SHUCT,0.5455013468398664,0.45449865316013355,0.0786834494988909,0.0786834494988909
40000,Example UCT,SHUCT,0.5032500962028476,0.4967499037971524,0.07900962607908801,0.07900962607908801
50000,Example UCT,SHUCT,0.5162504810142381,0.48374951898576196,0.07896955397253012,0.07896955397253012
