Iterations/Time,Agent1,Agent2,SHUCT_Mean,SHUCTAnyTime_Mean,SHUCT_Confidence,SHUCTAnyTime_Confidence
1000,SHUCT,SHUCTAnyTime,0.7535075038221131,0.24649249617788685,0.06810277672247071,0.06810277672247071
5000,SHUCT,SHUCTAnyTime,0.6430042329252945,0.35699576707470543,0.07571076364107698,0.07571076364107698
10000,SHUCT,SHUCTAnyTime,0.5520015392455616,0.44799846075443833,0.07858281509784516,0.07858281509784516
20000,SHUCT,SHUCTAnyTime,0.5,0.5,0.07901129530914981,0.07901129530914981
30000,SHUCT,SHUCTAnyTime,0.565001924056952,0.4349980759430479,0.07834076510655465,0.07834076510655465
40000,SHUCT,SHUCTAnyTime,0.45449865316013355,0.5455013468398664,0.0786834494988909,0.0786834494988909
50000,SHUCT,SHUCTAnyTime,0.44799846075443833,0.5520015392455616,0.07858281509784516,0.07858281509784516
