Iterations/Time,Agent1,Agent2,Agent1_Mean,Agent2_Mean,Agent1_Confidence,Agent2_Confidence
1000,UCT,SHUCTAnyTime,0.6066666666666667,0.3933333333333333,0.07843653138449026,0.07843653138449026
5000,UCT,SHUCTAnyTime,0.36666666666666664,0.6333333333333333,0.07737752343854433,0.07737752343854433
10000,UCT,SHUCTAnyTime,0.2866666666666667,0.7133333333333334,0.07261022704029134,0.07261022704029134
20000,UCT,SHUCTAnyTime,0.13333333333333333,0.8666666666666667,0.054583119438759826,0.054583119438759826
30000,UCT,SHUCTAnyTime,0.03333333333333333,0.9666666666666667,0.02882309952743427,0.02882309952743427
40000,UCT,SHUCTAnyTime,0.006666666666666667,0.9933333333333333,0.013066666666666667,0.013066666666666667
50000,UCT,SHUCTAnyTime,0.02,0.98,0.022479723899042472,0.022479723899042472
