Iterations/Time,Agent1,Agent2,SHUCT_Mean,SHUCTAnyTime_Mean,SHUCT_Confidence,SHUCTAnyTime_Confidence
1000,SHUCT,SHUCTAnyTime,0.5260007696227808,0.47399923037721914,0.0789043933947774,0.0789043933947774
5000,SHUCT,SHUCTAnyTime,0.4284978835373527,0.5715021164626473,0.0781992232864305,0.0781992232864305
10000,SHUCT,SHUCTAnyTime,0.41549749872596226,0.5845025012740377,0.07787473309299588,0.07787473309299588
20000,SHUCT,SHUCTAnyTime,0.4252477873345051,0.5747522126654949,0.07812329182352865,0.07812329182352865
30000,SHUCT,SHUCTAnyTime,0.47399923037721914,0.5260007696227808,0.0789043933947774,0.0789043933947774
40000,SHUCT,SHUCTAnyTime,0.48699961518860957,0.5130003848113904,0.07898458339493668,0.07898458339493668
50000,SHUCT,SHUCTAnyTime,0.46099884556582876,0.5390011544341713,0.07877056198357309,0.07877056198357307
