Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCT_Mean,Example UCT_Confidence,SHUCT_Confidence
1000,Example UCT,SHUCT,0.5260007696227808,0.47399923037721914,0.0789043933947774,0.0789043933947774
5000,Example UCT,SHUCT,0.48699961518860957,0.5130003848113904,0.07898458339493668,0.07898458339493668
10000,Example UCT,SHUCT,0.48699961518860957,0.5130003848113904,0.07898458339493668,0.07898458339493668
20000,Example UCT,SHUCT,0.47399923037721914,0.5260007696227808,0.0789043933947774,0.0789043933947774
30000,Example UCT,SHUCT,0.41549749872596226,0.5845025012740377,0.07787473309299588,0.07787473309299588
40000,Example UCT,SHUCT,0.5130003848113904,0.48699961518860957,0.07898458339493668,0.07898458339493668
50000,Example UCT,SHUCT,0.44799846075443833,0.5520015392455616,0.07858281509784516,0.07858281509784516
