Iterations/Time,Agent1,Agent2,Agent1_Mean,Agent2_Mean,Agent1_Confidence,Agent2_Confidence
1000,UCT,SHUCTAnyTime,0.6333333333333333,0.36666666666666664,0.07737752343854433,0.07737752343854433
5000,UCT,SHUCTAnyTime,0.17333333333333334,0.8266666666666667,0.06078118944464432,0.06078118944464432
10000,UCT,SHUCTAnyTime,0.06666666666666667,0.9333333333333333,0.04005305951404332,0.04005305951404332
20000,UCT,SHUCTAnyTime,0.03333333333333333,0.9666666666666667,0.02882309952743427,0.02882309952743427
30000,UCT,SHUCTAnyTime,0.02,0.98,0.022479723899042472,0.022479723899042472
40000,UCT,SHUCTAnyTime,0.02666666666666667,0.9733333333333334,0.025868908318651695,0.025868908318651695
50000,UCT,SHUCTAnyTime,0.013333333333333334,0.9866666666666667,0.018416942561226196,0.018416942561226196
