Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCT_Mean,Example UCT_Confidence,SHUCT_Confidence
1000,Example UCT,SHUCT,0.45449865316013355,0.5455013468398664,0.0786834494988909,0.0786834494988909
5000,Example UCT,SHUCT,0.47399923037721914,0.5260007696227808,0.0789043933947774,0.0789043933947774
10000,Example UCT,SHUCT,0.5390011544341713,0.46099884556582876,0.07877056198357307,0.07877056198357309
20000,Example UCT,SHUCT,0.4349980759430479,0.565001924056952,0.07834076510655465,0.07834076510655465
30000,Example UCT,SHUCT,0.48049942278291435,0.5195005772170856,0.0789511807930967,0.0789511807930967
40000,Example UCT,SHUCT,0.5065001924056952,0.4934998075943048,0.0790046181772951,0.0790046181772951
50000,Example UCT,SHUCT,0.5130003848113904,0.48699961518860957,0.07898458339493668,0.07898458339493668
