Iterations/Time,Agent1,Agent2,SHUCT_Mean,UCT_Mean,SHUCT_Confidence,UCT_Confidence
1000,SHUCT,UCT,0.48,0.52,0.08022047471661078,0.08022047471661078
5000,SHUCT,UCT,0.5666666666666667,0.43333333333333335,0.079567885929501,0.079567885929501
10000,SHUCT,UCT,0.5933333333333334,0.4066666666666667,0.0788735882484856,0.0788735882484856
20000,SHUCT,UCT,0.72,0.28,0.07209550712527797,0.07209550712527797
30000,SHUCT,UCT,0.8266666666666667,0.17333333333333334,0.06078118944464432,0.06078118944464432
40000,SHUCT,UCT,0.8466666666666667,0.15333333333333332,0.05785454156001982,0.05785454156001982
50000,SHUCT,UCT,0.8666666666666667,0.13333333333333333,0.054583119438759826,0.054583119438759826
