Iterations/Time,Agent1,Agent2,SHUCT_Mean,UCT_Mean,SHUCT_Confidence,UCT_Confidence
1000,SHUCT,UCT,0.58,0.42,0.07925042120862807,0.07925042120862807
5000,SHUCT,UCT,0.5133333333333333,0.4866666666666667,0.0802561774531314,0.0802561774531314
10000,SHUCT,UCT,0.47333333333333333,0.5266666666666666,0.08017046417400994,0.08017046417400994
20000,SHUCT,UCT,0.5,0.5,0.08028472821086596,0.08028472821086596
30000,SHUCT,UCT,0.44666666666666666,0.5533333333333333,0.07982669072325994,0.07982669072325994
40000,SHUCT,UCT,0.43333333333333335,0.5666666666666667,0.079567885929501,0.079567885929501
50000,SHUCT,UCT,0.47333333333333333,0.5266666666666666,0.08017046417400994,0.08017046417400994
