Iterations/Time,Agent1,Agent2,SHUCTAnyTime_Mean,UCT_Mean,SHUCTAnyTime_Confidence,UCT_Confidence
1000,SHUCTAnyTime,UCT,0.5,0.5,0.08028472821086596,0.08028472821086596
5000,SHUCTAnyTime,UCT,0.44666666666666666,0.5533333333333333,0.07982669072325994,0.07982669072325994
10000,SHUCTAnyTime,UCT,0.48,0.52,0.08022047471661078,0.08022047471661078
20000,SHUCTAnyTime,UCT,0.49333333333333335,0.5066666666666667,0.08027759147337812,0.08027759147337812
30000,SHUCTAnyTime,UCT,0.49333333333333335,0.5066666666666667,0.08027759147337812,0.08027759147337812
40000,SHUCTAnyTime,UCT,0.5333333333333333,0.4666666666666667,0.08010611902808663,0.08010611902808663
50000,SHUCTAnyTime,UCT,0.52,0.48,0.08022047471661078,0.08022047471661078
