Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCTAnyTime_Mean,Example UCT_Confidence,SHUCTAnyTime_Confidence
1000,Example UCT,SHUCTAnyTime,0.56,0.44,0.07970458206831377,0.07970458206831377
5000,Example UCT,SHUCTAnyTime,0.48,0.52,0.08022047471661078,0.08022047471661078
10000,Example UCT,SHUCTAnyTime,0.5066666666666667,0.49333333333333335,0.08027759147337812,0.08027759147337812
20000,Example UCT,SHUCTAnyTime,0.48,0.52,0.08022047471661078,0.08022047471661078
30000,Example UCT,SHUCTAnyTime,0.5266666666666666,0.47333333333333333,0.08017046417400994,0.08017046417400994
40000,Example UCT,SHUCTAnyTime,0.4866666666666667,0.5133333333333333,0.0802561774531314,0.0802561774531314
50000,Example UCT,SHUCTAnyTime,0.5466666666666666,0.4533333333333333,0.0799342787464638,0.0799342787464638
