Iterations/Time,Agent1,Agent2,Agent1_Mean,Agent2_Mean,Agent1_Confidence,Agent2_Confidence
1000,SHUCT,SHUCTAnyTime,0.49333333333333335,0.5066666666666667,0.08027759147337812,0.08027759147337812
5000,SHUCT,SHUCTAnyTime,0.47333333333333333,0.5266666666666666,0.08017046417400994,0.08017046417400994
10000,SHUCTAnyTime,SHUCT,0.5266666666666666,0.47333333333333333,0.08017046417400994,0.08017046417400994
20000,SHUCTAnyTime,SHUCT,0.62,0.38,0.07793823746442052,0.07793823746442052
30000,SHUCT,SHUCTAnyTime,0.5333333333333333,0.4666666666666667,0.08010611902808663,0.08010611902808663
40000,SHUCTAnyTime,SHUCT,0.5133333333333333,0.4866666666666667,0.0802561774531314,0.0802561774531314
50000,SHUCTAnyTime,SHUCT,0.5333333333333333,0.4666666666666667,0.08010611902808663,0.08010611902808663
