Iterations/Time,Agent1,Agent2,SHUCT_Mean,UCT_Mean,SHUCT_Confidence,UCT_Confidence
1000,SHUCT,UCT,0.66,0.34,0.07606315990873645,0.07606315990873645
5000,SHUCT,UCT,0.6,0.4,0.07866264730186057,0.07866264730186057
10000,SHUCT,UCT,0.54,0.46,0.08002740470211255,0.08002740470211255
20000,SHUCT,UCT,0.54,0.46,0.08002740470211255,0.08002740470211255
30000,SHUCT,UCT,0.4866666666666667,0.5133333333333333,0.0802561774531314,0.0802561774531314
40000,SHUCT,UCT,0.46,0.54,0.08002740470211255,0.08002740470211255
50000,SHUCT,UCT,0.43333333333333335,0.5666666666666667,0.079567885929501,0.079567885929501
