Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCT_Mean,Example UCT_Confidence,SHUCT_Confidence
1000,Example UCT,SHUCT,0.4902497113914572,0.5097502886085428,0.0789962709688142,0.07899627096881422
5000,Example UCT,SHUCT,0.48049942278291435,0.5195005772170856,0.0789511807930967,0.0789511807930967
10000,Example UCT,SHUCT,0.48699961518860957,0.5130003848113904,0.07898458339493668,0.07898458339493668
20000,Example UCT,SHUCT,0.4674990379715239,0.5325009620284761,0.07884419737173022,0.07884419737173022
30000,Example UCT,SHUCT,0.5390011544341713,0.46099884556582876,0.07877056198357307,0.07877056198357309
40000,Example UCT,SHUCT,0.5422512506370188,0.45774874936298116,0.07872869301213246,0.07872869301213246
50000,Example UCT,SHUCT,0.5065001924056952,0.4934998075943048,0.0790046181772951,0.0790046181772951
