Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCTAnyTime_Mean,Example UCT_Confidence,SHUCTAnyTime_Confidence
1000,Example UCT,SHUCTAnyTime,0.5520015392455616,0.44799846075443833,0.07858281509784516,0.07858281509784516
5000,Example UCT,SHUCTAnyTime,0.5325009620284761,0.4674990379715239,0.07884419737173022,0.07884419737173022
10000,Example UCT,SHUCTAnyTime,0.38949672910318145,0.6105032708968186,0.07705752970064753,0.07705752970064753
20000,Example UCT,SHUCTAnyTime,0.4674990379715239,0.5325009620284761,0.07884419737173022,0.07884419737173022
30000,Example UCT,SHUCTAnyTime,0.48699961518860957,0.5130003848113904,0.07898458339493668,0.07898458339493668
40000,Example UCT,SHUCTAnyTime,0.5065001924056952,0.4934998075943048,0.0790046181772951,0.0790046181772951
50000,Example UCT,SHUCTAnyTime,0.5455013468398664,0.45449865316013355,0.0786834494988909,0.0786834494988909
