Iterations/Time,Agent1,Agent2,Agent1_Mean,Agent2_Mean,Agent1_Confidence,Agent2_Confidence
1000,SHUCTAnyTime,SHUCT,0.26666666666666666,0.7333333333333333,0.07100648529896096,0.07100648529896096
5000,SHUCTAnyTime,SHUCT,0.34,0.66,0.07606315990873645,0.07606315990873645
10000,SHUCTAnyTime,SHUCT,0.37333333333333335,0.6266666666666667,0.0776657639336501,0.0776657639336501
20000,SHUCT,SHUCTAnyTime,0.5266666666666666,0.47333333333333333,0.08017046417400994,0.08017046417400994
30000,SHUCTAnyTime,SHUCT,0.5266666666666666,0.47333333333333333,0.08017046417400994,0.08017046417400994
40000,SHUCTAnyTime,SHUCT,0.6266666666666667,0.37333333333333335,0.0776657639336501,0.0776657639336501
50000,SHUCTAnyTime,SHUCT,0.5666666666666667,0.43333333333333335,0.079567885929501,0.079567885929501
