Iterations/Time,Agent1,Agent2,Agent1_Mean,Agent2_Mean,Agent1_Confidence,Agent2_Confidence
1000,SHUCTAnyTime,SHUCT,0.5466666666666666,0.4533333333333333,0.0799342787464638,0.0799342787464638
5000,SHUCT,SHUCTAnyTime,0.5333333333333333,0.4666666666666667,0.08010611902808663,0.08010611902808663
10000,SHUCT,SHUCTAnyTime,0.47333333333333333,0.5266666666666666,0.08017046417400994,0.08017046417400994
20000,SHUCT,SHUCTAnyTime,0.58,0.42,0.07925042120862807,0.07925042120862807
30000,SHUCT,SHUCTAnyTime,0.5066666666666667,0.49333333333333335,0.08027759147337812,0.08027759147337812
40000,SHUCT,SHUCTAnyTime,0.5466666666666666,0.4533333333333333,0.0799342787464638,0.0799342787464638
50000,SHUCTAnyTime,SHUCT,0.48,0.52,0.08022047471661078,0.08022047471661078
