Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCTAnyTime_Mean,Example UCT_Confidence,SHUCTAnyTime_Confidence
1000,Example UCT,SHUCTAnyTime,0.48,0.52,0.08022047471661078,0.08022047471661078
5000,Example UCT,SHUCTAnyTime,0.47333333333333333,0.5266666666666666,0.08017046417400994,0.08017046417400994
10000,Example UCT,SHUCTAnyTime,0.5,0.5,0.08028472821086596,0.08028472821086596
20000,Example UCT,SHUCTAnyTime,0.5266666666666666,0.47333333333333333,0.08017046417400994,0.08017046417400994
30000,Example UCT,SHUCTAnyTime,0.54,0.46,0.08002740470211255,0.08002740470211255
40000,Example UCT,SHUCTAnyTime,0.5133333333333333,0.4866666666666667,0.0802561774531314,0.0802561774531314
50000,Example UCT,SHUCTAnyTime,0.52,0.48,0.08022047471661078,0.08022047471661078
