Iterations/Time,Agent1,Agent2,SHUCT_Mean,SHUCTAnyTime_Mean,SHUCT_Confidence,SHUCTAnyTime_Confidence
1000,SHUCT,SHUCTAnyTime,0.6755051949537707,0.32449480504622935,0.07398393017533754,0.07398393017533754
5000,SHUCT,SHUCTAnyTime,0.6820053873594658,0.31799461264053414,0.07359070460504574,0.07359070460504574
10000,SHUCT,SHUCTAnyTime,0.8185094278790652,0.18149057212093478,0.06090571630443883,0.06090571630443883
20000,SHUCT,SHUCTAnyTime,0.8965117367474076,0.10348826325259228,0.04813297622655302,0.048132976226552986
30000,SHUCT,SHUCTAnyTime,0.747007311416418,0.2529926885835821,0.06869665468712188,0.0686966546871219
40000,SHUCT,SHUCTAnyTime,0.8185094278790652,0.18149057212093478,0.06090571630443883,0.06090571630443883
50000,SHUCT,SHUCTAnyTime,0.7340069266050275,0.26599307339497247,0.06982395106585305,0.06982395106585305
