Iterations/Time,Agent1,Agent2,SHUCTAnyTime_Mean,UCT_Mean,SHUCTAnyTime_Confidence,UCT_Confidence
1000,SHUCTAnyTime,UCT,0.44,0.56,0.07970458206831377,0.07970458206831377
5000,SHUCTAnyTime,UCT,0.46,0.54,0.08002740470211255,0.08002740470211255
10000,SHUCTAnyTime,UCT,0.4666666666666667,0.5333333333333333,0.08010611902808663,0.08010611902808663
20000,SHUCTAnyTime,UCT,0.5066666666666667,0.49333333333333335,0.08027759147337812,0.08027759147337812
30000,SHUCTAnyTime,UCT,0.52,0.48,0.08022047471661078,0.08022047471661078
40000,SHUCTAnyTime,UCT,0.5066666666666667,0.49333333333333335,0.08027759147337812,0.08027759147337812
50000,SHUCTAnyTime,UCT,0.5133333333333333,0.4866666666666667,0.0802561774531314,0.0802561774531314
