Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCT_Mean,Example UCT_Confidence,SHUCT_Confidence
1000,Example UCT,SHUCT,0.376496344291791,0.623503655708209,0.07656302097698782,0.07656302097698782
5000,Example UCT,SHUCT,0.4024971139145719,0.5975028860854281,0.07749444393821878,0.07749444393821878
10000,Example UCT,SHUCT,0.4349980759430479,0.565001924056952,0.07834076510655465,0.07834076510655465
20000,Example UCT,SHUCT,0.5,0.5,0.07901129530914981,0.07901129530914981
30000,Example UCT,SHUCT,0.5130003848113904,0.48699961518860957,0.07898458339493668,0.07898458339493668
40000,Example UCT,SHUCT,0.46099884556582876,0.5390011544341713,0.07877056198357309,0.07877056198357307
50000,Example UCT,SHUCT,0.47399923037721914,0.5260007696227808,0.0789043933947774,0.0789043933947774
