Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCTAnyTime_Mean,Example UCT_Confidence,SHUCTAnyTime_Confidence
1000,Example UCT,SHUCTAnyTime,0.47333333333333333,0.5266666666666666,0.08017046417400994,0.08017046417400994
5000,Example UCT,SHUCTAnyTime,0.5533333333333333,0.44666666666666666,0.07982669072325994,0.07982669072325994
10000,Example UCT,SHUCTAnyTime,0.4866666666666667,0.5133333333333333,0.0802561774531314,0.0802561774531314
20000,Example UCT,SHUCTAnyTime,0.4866666666666667,0.5133333333333333,0.0802561774531314,0.0802561774531314
30000,Example UCT,SHUCTAnyTime,0.4666666666666667,0.5333333333333333,0.08010611902808663,0.08010611902808663
40000,Example UCT,SHUCTAnyTime,0.42,0.58,0.07925042120862807,0.07925042120862807
50000,Example UCT,SHUCTAnyTime,0.5266666666666666,0.47333333333333333,0.08017046417400994,0.08017046417400994
