Iterations/Time,Agent1,Agent2,Example UCT_Mean,SHUCT_Mean,Example UCT_Confidence,SHUCT_Confidence
1000,Example UCT,SHUCT,0.54,0.46,0.08002740470211255,0.08002740470211255
5000,Example UCT,SHUCT,0.43333333333333335,0.5666666666666667,0.079567885929501,0.079567885929501
10000,Example UCT,SHUCT,0.44,0.56,0.07970458206831377,0.07970458206831377
20000,Example UCT,SHUCT,0.48,0.52,0.08022047471661078,0.08022047471661078
30000,Example UCT,SHUCT,0.4866666666666667,0.5133333333333333,0.0802561774531314,0.0802561774531314
40000,Example UCT,SHUCT,0.5333333333333333,0.4666666666666667,0.08010611902808663,0.08010611902808663
50000,Example UCT,SHUCT,0.44,0.56,0.07970458206831377,0.07970458206831377
