Iterations/Time,Agent1,Agent2,Agent1_Mean,Agent2_Mean,Agent1_Confidence,Agent2_Confidence
100000,SHUCTAnyTime,SHUCT,0.54,0.46,0.09817802012855847,0.09817802012855847
50000,SHUCTAnyTime,SHUCT,0.57,0.43,0.09752369098342362, 0.09752369098342362
10000,SHUCTAnyTime,SHUCT,0.56,0.44,0.09778197970769233,0.09778197970769233
5000,SHUCTAnyTime,SHUCT,0.51,0.49,0.09847400518395552,0.09847400518395552
1000,SHUCTAnyTime,SHUCT,0.5,0.5,0.09849370589540278,0.09849370589540278
