agents,utilities
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","0.0;0.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","0.0;0.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","-1.0;1.0"
"('Example UCT' / 'SHUCT')","1.0;-1.0"
