Index,Avg Regret,Std Regret,Avg Edit Distance,Std Edit Distance
18500,0.010779684583478236,0.008586836027262743,0.2,0.6
37000,0.007291327214041026,0.00582259746318448,0.14,0.5834380858325927
55500,0.006391444232589514,0.005094819988269415,0.12,0.47497368348151664
73000,0.005904968161762674,0.004576674896660718,0.12,0.5528109984434101
93000,0.0046628249319897045,0.003213306093598089,0.14,0.5834380858325927
112500,0.003971308047218061,0.0031085569072222055,0.06,0.34117444218463966
131000,0.0035530084313889526,0.0031482206458214555,0.06,0.34117444218463966
150500,0.0036091803032478457,0.0027034491055369114,0.12,0.47497368348151664
167500,0.003616633810607414,0.0030072223755335885,0.06,0.34117444218463966
186500,0.003596362174906484,0.002470197489130831,0.1,0.43588989435406744
